model,gpu,framework,precision,gpu_count,isl,osl,concurrency,rows,output_p50_tok_s_mw,output_p10_tok_s_mw,output_p90_tok_s_mw,input_p50_tok_s_mw,total_p50_tok_s_mw,median_tpot_ms,median_ttft_ms,power_w_p50,kv_pressure_proxy_isl_x_concurrency,decode_work_proxy_osl_x_concurrency,baseline_1024_1024_output_p50_tok_s_mw,realization_vs_same_config_1024_1024
dsr1,b200,trt,fp4,4,8192,1024,16,16,102830.267556,102440.657004,125980.140131,825597.385362,928017.42658,0.017136,0.258061,2170.0,131072.0,16384.0,127082.618349,0.809161
dsr1,b200,trt,fp4,4,1024,1024,256,16,790444.879117,787689.749667,795295.668322,790684.355824,1580125.795822,0.034826,0.834023,2170.0,262144.0,262144.0,790444.879117,1.0
dsr1,b200,trt,fp4,4,1024,8192,256,13,837296.018847,835546.58377,839874.454277,104466.438906,941833.644436,0.033886,2.017119,2170.0,262144.0,2097152.0,790444.879117,1.059272
dsr1,b200,trt,fp4,4,8192,1024,256,13,429050.226777,427800.550365,430123.513517,3431308.695225,3860341.814411,0.064885,2.27778,2170.0,2097152.0,262144.0,790444.879117,0.542796
dsr1,b200,trt,fp4,4,1024,1024,32,53,206807.306918,200059.471184,208211.69551,206167.675844,412960.428242,0.017305,0.091659,2170.0,32768.0,32768.0,206807.306918,1.0
dsr1,b200,trt,fp4,4,1024,8192,32,49,202553.865009,201655.421164,203177.903549,25146.795389,227702.99883,0.017795,0.108922,2170.0,32768.0,262144.0,206807.306918,0.979433
dsr1,b200,trt,fp4,4,8192,1024,32,15,149163.511119,148830.813681,149421.780406,1185145.485985,1333867.611127,0.023908,0.276898,2170.0,262144.0,32768.0,206807.306918,0.721268
dsr1,b200,trt,fp4,4,1024,1024,4,55,52744.252429,52372.130339,53368.156902,53353.128133,106004.323503,0.00837,0.108139,2170.0,4096.0,4096.0,52744.252429,1.0
dsr1,b200,trt,fp4,4,1024,8192,4,51,52448.307644,51997.315337,52619.950242,6692.872389,59141.162511,0.008662,0.110091,2170.0,4096.0,32768.0,52744.252429,0.994389
dsr1,b200,trt,fp4,4,8192,1024,4,17,46357.569621,46116.594454,57551.467512,370428.231476,416726.903871,0.009495,0.250551,2170.0,32768.0,4096.0,52744.252429,0.878912
