group,year,n_assets,observations,avg_pair_corr,median_pair_corr,max_pair_corr,min_pair_corr,pc1_share,strong_pair_share,avg_pair_corr_yoy_change,pc1_share_yoy_change
Server Networking,2025,14,12,0.43455069999014323,0.5134087694845101,0.9018353738362085,-0.27904323811923487,0.5176974800589108,0.18681318681318682,0.3436943346380125,0.18401706132686918
components,2025,14,12,0.4075786767450367,0.43550554511029993,0.9199358449396795,-0.16157361024077563,0.4875413996519997,0.14285714285714285,0.22933578929736245,0.1651267002737175
AI Platforms,2025,9,12,0.4065147410410969,0.4052709892894193,0.8806225016431202,-0.023179827914050717,0.49269756721001656,0.1111111111111111,-0.10148397058029984,-0.08457813817773918
Server OEM/EMS/ODM,2025,21,12,0.3833331016403163,0.43822937195897615,0.9257983969667787,-0.6461537304754941,0.4485826204362478,0.20952380952380953,0.2412523166754883,0.20500387911542628
AI Chip,2025,5,12,0.34541758140232626,0.3566165389696314,0.6710806737910875,-0.07868257321254303,0.5013923664583785,0.1,0.10938738181888807,0.032827354327460145
Energy,2025,18,12,0.2555798409667504,0.2762832171654226,0.886234647535781,-0.6547130817041614,0.4055390563134112,0.1437908496732026,-0.0464044916909539,-0.15465380360195508
Cooling,2025,4,12,0.22991546344377792,0.18281696363590522,0.6053754961355516,-0.06271807963863613,0.45394073908214744,0.0,-0.2574792535310919,-0.18806852252991307
CPU,2025,2,12,0.2055233623466883,0.2055233623466883,0.2055233623466883,0.2055233623466883,0.6027616811733442,0.0,-0.2017451008163695,-0.10087255040818477
Hyperscalers,2025,6,12,0.18350918711373115,0.26704330761158585,0.8081517263134492,-0.3495258876634413,0.44339448222688116,0.13333333333333333,0.038114720777703504,0.08422534281918143
meterier,2025,8,12,0.10783917841332412,0.1030625886660275,0.6339870990500932,-0.4814659275691935,0.3295279003370902,0.0,-0.12503138116726797,-0.08190987751326556
AI Software,2025,2,12,0.0396139250304166,0.0396139250304166,0.0396139250304166,0.0396139250304166,0.5198069625152083,0.0,0.07484080101500812,0.002193524522912549
foundry,2025,2,12,-0.060661935720523016,-0.060661935720523016,-0.060661935720523016,-0.060661935720523016,0.5303309678602616,0.0,-0.21664790836418613,-0.04766201846156992
AI Software,2026,2,6,0.9618769278008042,0.9618769278008042,0.9618769278008042,0.9618769278008042,0.9809384639004022,1.0,0.9222630027703876,0.4611315013851939
NAND,2026,3,6,0.91859617320214,0.9188128470083543,0.9714224681666783,0.8655532044313876,0.9459567419519593,1.0,0.29480454328772265,0.19002381018169412
DRAM,2026,3,6,0.8852412325084732,0.904847792676814,0.9636998138313967,0.7871760910172089,0.9241564012556109,1.0,0.2485932607374064,0.1607078026979749
Cooling,2026,4,6,0.790865535431024,0.7987561859478108,0.9378034592293049,0.6270629491853348,0.8479157991349663,0.6666666666666666,0.5609500719872461,0.39397506005281885
foundry,2026,2,6,0.7741692157912514,0.7741692157912514,0.7741692157912514,0.7741692157912514,0.8870846078956258,1.0,0.8348311515117744,0.35675364003536425
